Source,Target,Weight
Alice Perkins,Susan Crichton,6
Alice Perkins,Tim Parker,1
Alice Perkins,Second Sight,1
Alice Perkins,Simon Baker,1
Alice Perkins,Board,1
Alice Perkins,James Arbuthnot,1
Alice Perkins,Chair,2
Alice Perkins,Paula Venles,2
Alice Perkins,Susan Kreischer,1
Alice Perkins,Joe Hamilton,1
Alwen Lyons,Angela Vandenbergard,1
Alwen Lyons,Mark Davis,1
Alwen Lyons,Paula Venells,1
Alwen Lyons,Susan Crichton,5
Alwen Lyons,Tim Parker,1
Alwen Lyons,Second Sight,3
Alwen Lyons,Simon Baker,3
Alwen Lyons,David Oliver,1
Alwen Lyons,bug,3
Alwen Lyons,Fujitsu,1
Alwen Lyons,shortfall,1
Angela Vandenbergard,Mark Davis,1
Angela Vandenbergard,Paula Venells,1
Angela Vandenbergard,Susan Crichton,1
Angela Vandenbergard,Tim Parker,1
Mark Davis,Paula Venells,1
Mark Davis,Susan Crichton,2
Mark Davis,Tim Parker,1
Mark Davis,Lesley Sewell,2
Mark Davis,CCRC,1
Paula Venells,Susan Crichton,1
Paula Venells,Tim Parker,1
Susan Crichton,Tim Parker,1
Susan Crichton,Lesley Sewell,9
Susan Crichton,Simon Baker,4
Susan Crichton,Ron,1
Susan Crichton,Second Sight,3
Susan Crichton,Richard Morgan QC,1
Susan Crichton,Alice,5
Susan Crichton,Olwen,1
Susan Crichton,Vennells,1
Susan Crichton,Mrs Misra's,1
Susan Crichton,Richard Morgan,1
Susan Crichton,Hugh Flemington,3
Susan Crichton,David Oliver,2
Susan Crichton,Alwyn Lyon,1
Susan Crichton,Mark Davies,1
Susan Crichton,Martin Edwards,1
Susan Crichton,Sue,1
Susan Crichton,CCRC,2
Susan Crichton,Fujitsu,3
Susan Crichton,Wynne,1
Susan Crichton,mediation scheme,1
Susan Crichton,the Court of Appeal,1
Susan Crichton,Mrs Misra,1
Susan Crichton,Carl Lightking,1
Susan Crichton,Simon Richardson,1
Susan Crichton,Chair,1
Susan Crichton,Paula Venles,1
Susan Crichton,Comms,1
Susan Crichton,Board,1
Susan Crichton,the General Counsel,2
Susan Crichton,Paul Venells,1
Susan Crichton,PowerPoint,1
Susan Crichton,Ian,4
Susan Crichton,John Elsing,1
Susan Crichton,John Scott's,1
Susan Crichton,the Post Office Investigation Department,1
Susan Crichton,General Counsel,1
Susan Crichton,Cartwright King,3
Susan Crichton,Ian Henderson,2
Susan Crichton,Hang,1
Royal Mail Group,non-Post Office,1
Royal Mail Group,Simon,1
Royal Mail Group,Simon Richardson,1
Katie Stewart,Sandra Dawson,1
Emerita,Sandra,1
Emerita,Sidney Sussex College,1
Emerita,University College Cambridge,1
Sandra,Sidney Sussex College,1
Sandra,University College Cambridge,1
Sidney Sussex College,University College Cambridge,1
Stewart,Sydney Sussex College,1
Post Office Limited,the system,1
Post Office Limited,ICL Pathway,1
Post Office Limited,the Royal Mail,1
the system,Second Sight,4
the system,Fujitsu,3
